,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2065,s793,Movie,Cinderella,"Wilfred Jackson, Hamilton Luske, Clyde Geronimi","Ilene Woods, Eleanor Audley, Verna Felton, Rhoda Williams, James MacDonald, Luis Van Rooten",United States,"November 12, 2019",1950,G,77 min,Family,Cinderella's enchanted evening must end when a spell is broken at midnight.
2066,s793,Movie,Cinderella,"Wilfred Jackson, Hamilton Luske, Clyde Geronimi","Ilene Woods, Eleanor Audley, Verna Felton, Rhoda Williams, James MacDonald, Luis Van Rooten",United States,"November 12, 2019",1950,G,77 min,Fantasy,Cinderella's enchanted evening must end when a spell is broken at midnight.
2067,s794,Movie,Cinderella II: Dreams Come True,John Kafka,"Jennifer Hale, Rob Paulsen, Corey Burton, Andre Stojka, Russi Taylor, Susanne Blakeslee",United States,"November 12, 2019",2002,G,77 min,Animation,"Three royal tales, featuring Cinderella and her life in the palace."
2068,s794,Movie,Cinderella II: Dreams Come True,John Kafka,"Jennifer Hale, Rob Paulsen, Corey Burton, Andre Stojka, Russi Taylor, Susanne Blakeslee",United States,"November 12, 2019",2002,G,77 min,Fantasy,"Three royal tales, featuring Cinderella and her life in the palace."
2069,s794,Movie,Cinderella II: Dreams Come True,John Kafka,"Jennifer Hale, Rob Paulsen, Corey Burton, Andre Stojka, Russi Taylor, Susanne Blakeslee",United States,"November 12, 2019",2002,G,77 min,Kids,"Three royal tales, featuring Cinderella and her life in the palace."
2070,s795,Movie,Cinderella III: A Twist in Time,Frank Nissen,"Jennifer Hale, C.D. Barnes, Susanne Blakeslee, Tress MacNeille, Russi Taylor, Andre Stojka",United States,"November 12, 2019",2007,G,79 min,Animation,Cinderella's stepmother steals a magic wand and turns back time.
2071,s795,Movie,Cinderella III: A Twist in Time,Frank Nissen,"Jennifer Hale, C.D. Barnes, Susanne Blakeslee, Tress MacNeille, Russi Taylor, Andre Stojka",United States,"November 12, 2019",2007,G,79 min,Fantasy,Cinderella's stepmother steals a magic wand and turns back time.
2072,s795,Movie,Cinderella III: A Twist in Time,Frank Nissen,"Jennifer Hale, C.D. Barnes, Susanne Blakeslee, Tress MacNeille, Russi Taylor, Andre Stojka",United States,"November 12, 2019",2007,G,79 min,Kids,Cinderella's stepmother steals a magic wand and turns back time.
2073,s796,Movie,Clock Cleaners,Ben Sharpsteen,,United States,"November 12, 2019",1937,TV-G,9 min,Animation,"Mickey, Donald and Goofy are trying to clean the clock of a tower. See details for advisory."
2074,s796,Movie,Clock Cleaners,Ben Sharpsteen,,United States,"November 12, 2019",1937,TV-G,9 min,Comedy,"Mickey, Donald and Goofy are trying to clean the clock of a tower. See details for advisory."
2075,s796,Movie,Clock Cleaners,Ben Sharpsteen,,United States,"November 12, 2019",1937,TV-G,9 min,Family,"Mickey, Donald and Goofy are trying to clean the clock of a tower. See details for advisory."
